"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1837091","2011","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.1","","","14.3","16.0","2452","Overall","Overall","ADDEPEV2","26","26","","","","","",""
"1840103","2011","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.9","","","17.8","20.1","1755","Overall","Overall","ADDEPEV2","27","27","","","","","",""
"1842531","2011","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.1","","","18.7","21.6","1289","Overall","Overall","ADDEPEV2","28","28","","","","","",""
"1844621","2011","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.5","","","19.3","21.7","2125","Overall","Overall","ADDEPEV2","29","29","","","","","",""
"1847645","2011","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.9","","","16.2","17.5","4327","Overall","Overall","ADDEPEV2","30","30","","","","","",""
"1850452","2011","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.8","","","14.2","17.3","999","Overall","Overall","ADDEPEV2","31","31","","","","","",""
"1853814","2011","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.8","","","20.3","23.2","1381","Overall","Overall","ADDEPEV2","32","32","","","","","",""
"1856331","2011","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","11.1","","","10.4","11.8","1889","Overall","Overall","ADDEPEV2","33","33","","","","","",""
"1858621","2011","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.4","","","19.4","21.5","2006","Overall","Overall","ADDEPEV2","34","34","","","","","",""
"1861536","2011","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.9","","","14.8","17.0","1285","Overall","Overall","ADDEPEV2","35","35","","","","","",""
"1863650","2011","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.5","","","16.4","18.5","2151","Overall","Overall","ADDEPEV2","36","36","","","","","",""
"1867414","2011","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.3","","","15.9","18.7","864","Overall","Overall","ADDEPEV2","37","37","","","","","",""
"1870053","2011","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.6","18.8","1768","Overall","Overall","ADDEPEV2","38","38","","","","","",""
"1872579","2011","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.9","","","20.7","23.1","2052","Overall","Overall","ADDEPEV2","39","39","","","","","",""
"1875424","2011","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.9","","","22.5","25.3","1546","Overall","Overall","ADDEPEV2","40","40","","","","","",""
"1877880","2011","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.3","","","18.3","20.3","2239","Overall","Overall","ADDEPEV2","41","41","","","","","",""
"1880629","2011","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.0","","","20.6","23.4","1438","Overall","Overall","ADDEPEV2","42","42","","","","","",""
"1883530","2011","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.3","","","14.4","16.3","2004","Overall","Overall","ADDEPEV2","43","43","","","","","",""
"1886322","2011","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.4","","","14.9","18.0","1320","Overall","Overall","ADDEPEV2","44","44","","","","","",""
"1889219","2011","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.2","","","17.0","21.5","1130","Overall","Overall","ADDEPEV2","45","45","","","","","",""
"1891866","2011","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.6","","","15.6","17.7","2712","Overall","Overall","ADDEPEV2","46","46","","","","","",""
"1894910","2011","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","22.0","","","21.0","23.1","2781","Overall","Overall","ADDEPEV2","47","47","","","","","",""
"1897318","2011","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.0","","","21.6","24.3","1606","Overall","Overall","ADDEPEV2","48","48","","","","","",""
"1900425","2011","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.1","","","12.9","15.3","976","Overall","Overall","ADDEPEV2","49","49","","","","","",""
"1903404","2011","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.6","20.8","2900","Overall","Overall","ADDEPEV2","50","50","","","","","",""
"1905827","2011","WV","West Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.1","","","18.8","21.5","1084","Overall","Overall","ADDEPEV2","51","51","","","","","",""
"1907742","2011","WI","Wisconsin","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.8","","","13.4","16.3","817","Overall","Overall","ADDEPEV2","52","52","","","","","",""
"1911478","2011","WY","Wyoming","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.0","","","17.7","20.4","1306","Overall","Overall","ADDEPEV2","53","53","","","","","",""
"1914351","2011","GU","Guam","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","7.6","","","6.2","9.1","174","Overall","Overall","ADDEPEV2","56","56","","","","","",""
"1916803","2011","PR","Puerto Rico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.7","17.9","1138","Overall","Overall","ADDEPEV2","60","60","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Datasource","","Behavioral Risk Factor Surveillance System","http://www.cdc.gov/brfss","BRFSS","CDC"
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","%","Percent","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","CI","95% Confidence Interval","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","n","“Sample Size”. Translates to the number of adult respondents who answered this question, or were assigned to this category based on question responses for a calculated variable, or the number of states included for a median.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","N/A","Translates to no data available for a record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","MeasureDefinitions","No Data","Translates to no data available for record.","","",""
"","","","","","","","","","","","","","","","","","","","","","","SuggestedCitation","","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Prevalence & Trends Data [online]. 2015.","https://www.cdc.gov/brfss/brfssprevalence/","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Prevalence Data and Data Analysis Tools","/brfss/data_tools.htm","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Behavioral Risk Factor Surveillance System (BRFSS)","/brfss/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Division of Population Health","/nccdphp/dph/index.html","",""
"","","","","","","","","","","","","","","","","","","","","","","RelatedLinks","","Survey Data & Documentation","/brfss/data_documentation/index.htm","",""
